algorithm,loss,penalty_type,lambda,gamma,support_size,auc_train,auc_test,acc_train,acc_test,train_time
fastsparse,Logistic,L0L2,0.800000,0.001000,70,0.818210,0.775890,0.742223,0.701721,4.734886
fastsparse,Logistic,L0L2,1.000000,0.001000,62,0.816759,0.773097,0.739546,0.699809,3.075215
fastsparse,Logistic,L0L2,2.000000,0.001000,33,0.809493,0.775191,0.732917,0.703633,1.157279
fastsparse,Logistic,L0L2,3.000000,0.001000,26,0.807159,0.775874,0.734319,0.704270,1.400878
fastsparse,Logistic,L0L2,4.000000,0.001000,21,0.806759,0.777207,0.732662,0.711918,1.244154
fastsparse,Logistic,L0L2,5.000000,0.001000,19,0.805404,0.775129,0.732279,0.708732,1.134094
fastsparse,Logistic,L0L2,6.000000,0.001000,15,0.801206,0.771998,0.725778,0.699809,0.858697
fastsparse,Logistic,L0L2,7.000000,0.001000,12,0.798463,0.771021,0.727945,0.695985,0.694103
algorithm,loss,penalty_type,lambda,gamma,support_size,auc_train,auc_test,acc_train,acc_test,train_time
fastsparse,Logistic,L0L2,0.800000,0.000010,21,0.745271,0.715734,0.689515,0.669238,0.523381
fastsparse,Logistic,L0L2,1.000000,0.000010,21,0.745274,0.715753,0.689902,0.670203,0.517713
fastsparse,Logistic,L0L2,2.000000,0.000010,16,0.742951,0.716265,0.691253,0.669238,0.394979
fastsparse,Logistic,L0L2,3.000000,0.000010,11,0.739985,0.707783,0.687198,0.668274,0.235958
fastsparse,Logistic,L0L2,4.000000,0.000010,11,0.740261,0.707854,0.687198,0.668274,0.347611
fastsparse,Logistic,L0L2,5.000000,0.000010,8,0.734882,0.703287,0.686619,0.656702,0.180445
fastsparse,Logistic,L0L2,6.000000,0.000010,8,0.734882,0.703287,0.686619,0.656702,0.153268
fastsparse,Logistic,L0L2,7.000000,0.000010,8,0.734882,0.703287,0.686619,0.656702,0.152614
fastsparse,Logistic,L0L2,0.800000,0.001000,22,0.744978,0.717311,0.689708,0.668274,0.443577
fastsparse,Logistic,L0L2,1.000000,0.001000,21,0.745119,0.715753,0.689902,0.670203,0.328295
fastsparse,Logistic,L0L2,2.000000,0.001000,16,0.742924,0.716224,0.691253,0.669238,0.239788
fastsparse,Logistic,L0L2,3.000000,0.001000,11,0.740151,0.711549,0.687971,0.666345,0.127825
fastsparse,Logistic,L0L2,4.000000,0.001000,11,0.740228,0.707087,0.687005,0.667310,0.151774
fastsparse,Logistic,L0L2,5.000000,0.001000,9,0.736979,0.706791,0.686619,0.656702,0.133641
fastsparse,Logistic,L0L2,6.000000,0.001000,8,0.734882,0.703287,0.686619,0.656702,0.119446
fastsparse,Logistic,L0L2,7.000000,0.001000,8,0.734882,0.703287,0.686619,0.656702,0.113380
